GEOID,NAME,popE,popM,geometry,lon,lat,geometry
51041100206,"Census Tract 1002.06, Chesterfield County, Virginia",5218,488,"c(-77.5334912927496, 37.4547728146469)",-77.5334912927496,37.4547728146469,"c(-77.5334912927496, 37.4547728146469)"
51059481202,"Census Tract 4812.02, Fairfax County, Virginia",4632,340,"c(-77.370777247977, 38.9425931851988)",-77.370777247977,38.9425931851988,"c(-77.370777247977, 38.9425931851988)"
51710004800,"Census Tract 48, Norfolk city, Virginia",744,80,"c(-76.2799115849972, 36.8446379977949)",-76.2799115849972,36.8446379977949,"c(-76.2799115849972, 36.8446379977949)"
51117930300,"Census Tract 9303, Mecklenburg County, Virginia",3037,274,"c(-78.2500399870202, 36.7273772740616)",-78.2500399870202,36.7273772740616,"c(-78.2500399870202, 36.7273772740616)"
51143010300,"Census Tract 103, Pittsylvania County, Virginia",3288,313,"c(-79.4799204374501, 36.9886828312315)",-79.4799204374501,36.9886828312315,"c(-79.4799204374501, 36.9886828312315)"
51059421101,"Census Tract 4211.01, Fairfax County, Virginia",5032,504,"c(-77.1731032342614, 38.7514623079051)",-77.1731032342614,38.7514623079051,"c(-77.1731032342614, 38.7514623079051)"
51087200201,"Census Tract 2002.01, Henrico County, Virginia",2327,204,"c(-77.55706150707, 37.5941598074596)",-77.55706150707,37.5941598074596,"c(-77.55706150707, 37.5941598074596)"
51085320100,"Census Tract 3201, Hanover County, Virginia",4733,392,"c(-77.5849444242303, 37.8859459537542)",-77.5849444242303,37.8859459537542,"c(-77.5849444242303, 37.8859459537542)"
51810040403,"Census Tract 404.03, Virginia Beach city, Virginia",3058,235,"c(-76.1724766237724, 36.8969964930786)",-76.1724766237724,36.8969964930786,"c(-76.1724766237724, 36.8969964930786)"
51760010401,"Census Tract 104.01, Richmond city, Virginia",2208,243,"c(-77.4535609233784, 37.5880924119844)",-77.4535609233784,37.5880924119844,"c(-77.4535609233784, 37.5880924119844)"
51081880200,"Census Tract 8802, Greensville County, Virginia",3380,283,"c(-77.5566475695066, 36.6090294127628)",-77.5566475695066,36.6090294127628,"c(-77.5566475695066, 36.6090294127628)"
