origin,dest,cost
51167,51015,282.2
51187,51015,90.1
51165,51015,27.8
51195,51015,319.5
51083,51015,183.3
51053,51015,191.6
51117,51015,221.7
51031,51015,128
51007,51015,162.2
51036,51015,179.4
51017,51015,89.9
51127,51015,170.5
51181,51015,208
51790,51015,19.1
51600,51015,148.5
51091,51015,71.4
51690,51015,179.7
51191,51015,244.4
51139,51015,63.8
51073,51015,202.5
51069,51015,97.5
51093,51015,225.1
51095,51015,189.2
51067,51015,146.4
51003,51015,50.9
51099,51015,183.3
51125,51015,78.9
51175,51015,238.8
51061,51015,124
51005,51015,100.4
51153,51015,138.2
51041,51015,165.5
51027,51015,303.3
51149,51015,186.4
51089,51015,178.2
51185,51015,246.9
51131,51015,296.7
51141,51015,206.5
51145,51015,130.6
51171,51015,59.4
51193,51015,215
51177,51015,141.8
51033,51015,169.2
51023,51015,100.1
51163,51015,59.7
51133,51015,226.1
51051,51015,338.2
51179,51015,164.7
51085,51015,134
51015,51015,25.7
51081,51015,213.7
51037,51015,177.3
51143,51015,168.2
51119,51015,200.2
51159,51015,198.6
51059,51015,151.8
51029,51015,119.2
51199,51015,205.8
51147,51015,154.9
51057,51015,192.7
51097,51015,185.6
51157,51015,93
51019,51015,120.2
51121,51015,147.8
51107,51015,140.3
51109,51015,106.9
51047,51015,107.5
51087,51015,139.4
51155,51015,160.2
51101,51015,166
51009,51015,103.1
51113,51015,87.5
51137,51015,106.4
51001,51015,342
51161,51015,119.2
51043,51015,104.8
51820,51015,31.3
51183,51015,198.7
51079,51015,55.4
51740,51015,244.1
51520,51015,258.2
51660,51015,17.6
51510,51015,171
51650,51015,217.9
51021,51015,200.8
51730,51015,167.5
51610,51015,157
51197,51015,193.8
51680,51015,113.9
51710,51015,234.6
51700,51015,210.9
51540,51015,60.4
51013,51015,162.3
51550,51015,266.1
51670,51015,165.4
51035,51015,200.7
51115,51015,223.5
51077,51015,225.7
51640,51015,208.8
51775,51015,112.8
51620,51015,240
51830,51015,191.9
51570,51015,159.2
51720,51015,315.4
51760,51015,138.8
51105,51015,348.8
51071,51015,180.8
51590,51015,192.8
51011,51015,121.6
51630,51015,148.7
51800,51015,237.9
51075,51015,108.4
51025,51015,221.3
51135,51015,189
51045,51015,141.9
51580,51015,97.2
51678,51015,56.7
51810,51015,265.7
51173,51015,217.5
51683,51015,134
51770,51015,112.7
51049,51015,140.9
51595,51015,210.4
51111,51015,210
51750,51015,152.8
51735,51015,220.5
51840,51015,91.9
51065,51015,90.6
51103,51015,235
51169,51015,324.1
51063,51015,169.2
51530,51015,61
51685,51015,141.7
51167,51620,434.3
51187,51620,270.6
51165,51620,263.1
51195,51620,471.5
51083,51620,150.4
51053,51620,99.7
51117,51620,101.1
51031,51620,206.2
51007,51620,141.5
51036,51620,111.3
51017,51620,302.2
51127,51620,128.2
51181,51620,68.1
51790,51620,231.3
51600,51620,227
51091,51620,285
51690,51620,210.1
51191,51620,396.4
51139,51620,271.1
51073,51620,108.1
51069,51620,294.1
51093,51620,34.2
51095,51620,104.6
51067,51620,248
51003,51620,197.6
51099,51620,184.4
51125,51620,238.7
51175,51620,20.1
51061,51620,226.5
51005,51620,305.2
51153,51620,214.9
51041,51620,120
51027,51620,455.3
51149,51620,77.6
51089,51620,211.2
51185,51620,398.9
51131,51620,125.2
51141,51620,249.8
51145,51620,138.6
51171,51620,294.7
51193,51620,188.1
51177,51620,174.7
51033,51620,153.8
51023,51620,298.2
51163,51620,264.5
51133,51620,181.6
51051,51620,490.2
51179,51620,185.8
51085,51620,128.7
51015,51620,235.6
51081,51620,47.1
51037,51620,168.5
51143,51620,195.5
51119,51620,136.7
51159,51620,171.8
51059,51620,228.6
51029,51620,196.1
51199,51620,93.8
51147,51620,160.2
51057,51620,165.8
51097,51620,153.8
51157,51620,252.7
51019,51620,243.9
51121,51620,321.2
51107,51620,260.6
51109,51620,180.2
51047,51620,216.3
51087,51620,111.3
51155,51620,330.2
51101,51620,139.2
51009,51620,241.3
51113,51620,228.5
51137,51620,208.7
51001,51620,170.4
51161,51620,288.3
51043,51620,279
51820,51620,219.5
51183,51620,54.6
51079,51620,217.4
51740,51620,53.7
51520,51620,410.2
51660,51620,252.9
51510,51620,226.4
51650,51620,69.6
51021,51620,352.8
51730,51620,78.6
51610,51620,232.3
51197,51620,345.9
51680,51620,218.1
51710,51620,63.1
51700,51620,73.3
51540,51620,190.3
51013,51620,231.6
51550,51620,70.3
51670,51620,84.2
51035,51620,302.9
51115,51620,131.4
51077,51620,352.1
51640,51620,319.5
51775,51620,285.6
51620,51620,2.9
51830,51620,96.6
51570,51620,92.8
51720,51620,467.4
51760,51620,113.3
51105,51620,500.8
51071,51620,355.5
51590,51620,178.6
51011,51620,188.2
51630,51620,169.9
51800,51620,30.8
51075,51620,155
51025,51620,66.4
51135,51620,128.3
51045,51620,329.5
51580,51620,301.9
51678,51620,261.5
51810,51620,81.9
51173,51620,369.5
51683,51620,219.1
51770,51620,277.7
51049,51620,163.2
51595,51620,41.6
51111,51620,125.3
51750,51620,322.3
51735,51620,81.6
51840,51620,286.1
51065,51620,185
51103,51620,165.8
51169,51620,476.2
51063,51620,289.5
51530,51620,264.7
51685,51620,220.6
51167,51590,261.6
51187,51590,279.3
51165,51590,217
51195,51590,298.8
51083,51590,55.6
51053,51590,147.3
51117,51590,80.2
51031,51590,88.3
51007,51590,132.5
51036,51590,203.5
51017,51590,198.2
51127,51590,219.4
51181,51590,216.2
51790,51590,185.2
51600,51590,302.1
51091,51590,238.9
51690,51590,37.4
51191,51590,223.7
51139,51590,248.9
51073,51590,251.5
51069,51590,286.7
51093,51590,213
51095,51590,238.2
51067,51590,75.3
51003,51590,173.2
51099,51590,259.5
51125,51590,141.5
51175,51590,175.3
51061,51590,264.5
51005,51590,185.2
51153,51590,289.1
51041,51590,184.4
51027,51590,282.6
51149,51590,185.6
51089,51590,38.5
51185,51590,226.2
51131,51590,300.6
51141,51590,77.1
51145,51590,165.8
51171,51590,248.6
51193,51590,275.4
51177,51590,249.8
51033,51590,232.2
51023,51590,144.9
51163,51590,159.9
51133,51590,286.4
51051,51590,317.5
51179,51590,260.9
51085,51590,203.8
51015,51590,189.5
51081,51590,144.5
51037,51590,104.6
51143,51590,29.9
51119,51590,249.2
51159,51590,259
51059,51590,303.7
51029,51590,154.2
51199,51590,254.8
51147,51590,103.4
51057,51590,253
51097,51590,245.9
51157,51590,252
51019,51590,110
51121,51590,148.5
51107,51590,308.4
51109,51590,220.5
51047,51590,236.1
51087,51590,188.4
51155,51590,157.5
51101,51590,226.4
51009,51590,126.8
51113,51590,216.1
51137,51590,225.6
51001,51590,345.9
51161,51590,115.6
51043,51590,294
51820,51590,171.4
51183,51590,170.9
51079,51590,202.2
51740,51590,229.2
51520,51590,237.5
51660,51590,206.8
51510,51590,301.4
51650,51590,245.1
51021,51590,180.1
51730,51590,164.5
51610,51590,307.4
51197,51590,173.2
51680,51590,96.3
51710,51590,238.6
51700,51590,248.7
51540,51590,173.2
51013,51590,306.7
51550,51590,245.8
51670,51590,172.7
51035,51590,130.2
51115,51590,272.5
51077,51590,179.4
51640,51590,146.8
51775,51590,112.9
51620,51590,180.1
51830,51590,240.7
51570,51590,175.3
51720,51590,294.7
51760,51590,187.5
51105,51590,328.1
51071,51590,182.8
51590,51590,4.3
51011,51590,112.5
51630,51590,245
51800,51590,206.2
51075,51590,189.7
51025,51590,120.1
51135,51590,130.4
51045,51590,156.8
51580,51590,182
51678,51590,153.2
51810,51590,257.4
51173,51590,196.8
51683,51590,285.3
51770,51590,105
51049,51590,147.9
51595,51590,140.5
51111,51590,125.9
51750,51590,149.6
51735,51590,257
51840,51590,281
51065,51590,187
51103,51590,284
51169,51590,303.5
51063,51590,116.8
51530,51590,142.4
51685,51590,294.1
51167,51710,483.8
51187,51710,268
51165,51710,262.5
51195,51710,521.1
51083,51710,202.1
51053,51710,120.4
51117,51710,152.8
51031,51710,243.4
51007,51710,156.7
51036,51710,96.2
51017,51710,301.6
51127,51710,92.5
51181,51710,72.2
51790,51710,230.7
51600,51710,224.4
51091,51710,284.4
51690,51710,261.8
51191,51710,446
51139,51710,270.4
51073,51710,73.3
51069,51710,291.5
51093,51710,49.4
51095,51710,68.9
51067,51710,299.7
51003,51710,197
51099,51710,181.8
51125,51710,238.1
51175,51710,71.8
51061,51710,223.9
51005,51710,304.5
51153,51710,212.3
51041,51710,135.1
51027,51710,504.9
51149,51710,92.7
51089,51710,262.9
51185,51710,448.5
51131,51710,72.2
51141,51710,301.6
51145,51710,153.7
51171,51710,293.9
51193,51710,161.1
51177,51710,172.1
51033,51710,151.2
51023,51710,304.2
51163,51710,263.9
51133,51710,146.8
51051,51710,539.8
51179,51710,183.2
51085,51710,126.1
51015,51710,235
51081,51710,98.8
51037,51710,206.3
51143,51710,247.2
51119,51710,101.9
51159,51710,144.7
51059,51710,226
51029,51710,211.9
51199,51710,58.1
51147,51710,180.8
51057,51710,145.4
51097,51710,118.2
51157,51710,250.1
51019,51710,264.4
51121,51710,349.4
51107,51710,258
51109,51710,177.6
51047,51710,213.7
51087,51710,107.3
51155,51710,361.8
51101,51710,117.7
51009,51710,261.9
51113,51710,227.9
51137,51710,206.1
51001,51710,117.5
51161,51710,318.7
51043,51710,276.4
51820,51710,218.9
51183,51710,88.3
51079,51710,216.7
51740,51710,12.5
51520,51710,459.8
51660,51710,252.3
51510,51710,223.8
51650,51710,28.5
51021,51710,402.4
51730,51710,93.8
51610,51710,229.7
51197,51710,395.4
51680,51710,238.7
51710,51710,9
51700,51710,40.8
51540,51710,189.7
51013,51710,229.1
51550,51710,28.1
51670,51710,99.4
51035,51710,354.6
51115,51710,96.6
51077,51710,403.8
51640,51710,371.2
51775,51710,314.3
51620,51710,57.9
51830,51710,60.9
51570,51710,107.9
51720,51710,517
51760,51710,117.3
51105,51710,550.4
51071,51710,382.4
51590,51710,230.4
51011,51710,208.8
51630,51710,167.3
51800,51710,40
51075,51710,154.4
51025,51710,118.2
51135,51710,151.1
51045,51710,346
51580,51710,301.3
51678,51710,260.9
51810,51710,32.3
51173,51710,419.1
51683,51710,216.6
51770,51710,302.9
51049,51710,178.4
51595,51710,93.4
51111,51710,172.3
51750,51710,354.4
51735,51710,44.6
51840,51710,283.5
51065,51710,184.4
51103,51710,131
51169,51710,525.7
51063,51710,341.2
51530,51710,265.2
51685,51710,218
51167,51041,394.1
51187,51041,187.7
51165,51041,176.2
51195,51041,431.3
51083,51041,142.4
51053,51041,43
51117,51041,96.2
51031,51041,154.4
51007,51041,53.1
51036,51041,45.3
51017,51041,215.3
51127,51041,52.8
51181,51041,59.8
51790,51041,144.4
51600,51041,144
51091,51041,198.1
51690,51041,205.2
51191,51041,356.2
51139,51041,184.1
51073,51041,84.9
51069,51041,211.1
51093,51041,76.6
51095,51041,71.6
51067,51041,229
51003,51041,110.7
51099,51041,101.5
51125,51041,151.8
51175,51041,90.4
51061,51041,143.5
51005,51041,218.2
51153,51041,132
51041,51041,30.9
51027,51041,415.1
51149,51041,38.2
51089,51041,206.3
51185,51041,358.7
51131,51041,175.4
51141,51041,244.9
51145,51041,50.2
51171,51041,207.8
51193,51041,111
51177,51041,91.7
51033,51041,74.2
51023,51041,217.9
51163,51041,177.6
51133,51041,122
51051,51041,450
51179,51041,102.8
51085,51041,45.7
51015,51041,148.7
51081,51041,65.6
51037,51041,125.2
51143,51041,189.5
51119,51041,82.6
51159,51041,94.6
51059,51041,145.6
51029,51041,108.4
51199,51041,88.2
51147,51041,91
51057,51041,88.6
51097,51041,81.5
51157,51041,169.7
51019,51041,174.6
51121,51041,259.6
51107,51041,177.6
51109,51041,93.4
51047,51041,133.3
51087,51041,25.5
51155,51041,272
51101,51041,62
51009,51041,166
51113,51041,141.6
51137,51041,121.9
51001,51041,220.7
51161,51041,228.9
51043,51041,196
51820,51041,132.6
51183,51041,50.6
51079,51041,130.4
51740,51041,103.9
51520,51041,370
51660,51041,166
51510,51041,143.4
51650,51041,100.2
51021,51041,312.6
51730,51041,17.8
51610,51041,149.4
51197,51041,305.7
51680,51041,148.9
51710,51041,113.3
51700,51041,93.3
51540,51041,103.4
51013,51041,148.7
51550,51041,120.5
51670,51041,17.2
51035,51041,298
51115,51041,105.8
51077,51041,337.5
51640,51041,314.6
51775,51041,224.6
51620,51041,91.5
51830,51041,74.3
51570,51041,11.6
51720,51041,427.2
51760,51041,26.4
51105,51041,460.6
51071,51041,292.6
51590,51041,173.8
51011,51041,119
51630,51041,87
51800,51041,89.4
51075,51041,68
51025,51041,72.7
51135,51041,73
51045,51041,259.7
51580,51041,215
51678,51041,174.6
51810,51041,132.1
51173,51041,329.3
51683,51041,136.2
51770,51041,213.2
51049,51041,74.8
51595,51041,62.3
51111,51041,94.3
51750,51041,264.6
51735,51041,102.8
51840,51041,203.2
51065,51041,97.9
51103,51041,117.4
51169,51041,436
51063,51041,281.1
51530,51041,178.9
51685,51041,137.6
51167,51087,378.8
51187,51087,161.5
51165,51087,154.9
51195,51087,416
51083,51087,157.5
51053,51087,74.4
51117,51087,127.5
51031,51087,169.5
51007,51087,68.2
51036,51087,60.3
51017,51087,194
51127,51087,51.3
51181,51087,89.9
51790,51087,123.1
51600,51087,117.9
51091,51087,176.7
51690,51087,225.3
51191,51087,340.9
51139,51087,162.8
51073,51087,83.4
51069,51087,184.9
51093,51087,107.8
51095,51087,70.1
51067,51087,243
51003,51087,89.4
51099,51087,75.3
51125,51087,130.5
51175,51087,121.6
51061,51087,117.3
51005,51087,196.9
51153,51087,105.8
51041,51087,57
51027,51087,399.8
51149,51087,68
51089,51087,226.4
51185,51087,343.4
51131,51087,177.6
51141,51087,265
51145,51087,55.8
51171,51087,186.5
51193,51087,95.9
51177,51087,65.6
51033,51087,48
51023,51087,196.6
51163,51087,156.3
51133,51087,107
51051,51087,434.7
51179,51087,76.7
51085,51087,19.6
51015,51087,127.4
51081,51087,96.5
51037,51087,140.3
51143,51087,204.7
51119,51087,81.1
51159,51087,79.5
51059,51087,119.5
51029,51087,111.1
51199,51087,86.7
51147,51087,106.1
51057,51087,73.5
51097,51087,66.5
51157,51087,143.6
51019,51087,189.8
51121,51087,244.3
51107,51087,151.5
51109,51087,69.2
51047,51087,107.1
51087,51087,22.1
51155,51087,256.7
51101,51087,46.9
51009,51087,156.8
51113,51087,120.2
51137,51087,97.7
51001,51087,222.8
51161,51087,215.8
51043,51087,169.8
51820,51087,111.3
51183,51087,81.5
