lon,lat,GEOID,capacity
-76.9375687,36.6744791,51620,0
-82.001486,36.6994053,51191,12
-79.8513816,37.8115476,51005,12
-81.0729252,36.9525203,51197,10
-79.4091964,36.5644841,51590,58
-77.9163459,36.8392995,51025,38
-77.3964344,37.1566711,51149,14
-76.2913302,36.850098,51710,222
-76.623862,37.5643561,51073,64
-77.4077974,37.3466091,51041,78
-77.4758617,37.6340816,51087,74
-78.266852600000007,39.0351031,51069,60
-80.0234938,37.2997396,51775,24
-77.7798052,38.3752082,51137,50
-76.064528,36.8375601,51810,4
-75.7463725,37.6441571,51001,0
-76.1381446,36.8278959,51810,20
-79.9737355,37.246308,51770,62
-82.75966,36.853859,51195,14
-79.183912,37.3593436,51680,2
-82.6697361,29.031004,NA,2
-77.2380855,38.8363305,51059,2058
-78.4844292,38.0069995,51003,78
-80.696477,37.105181,51155,58
-76.178872,36.8425384,51810,1706
-76.5173449,37.1405107,51700,0
-79.8748169,36.7397709,51089,12
-77.2490916,38.9284029,51059,10
-76.2277695,36.7660867,51550,0
-76.4186005,37.0634225,51650,70
