"","name","address","tot_enrol","latitude","longitude"
"1","Paul D Camp Community College","100 N College Dr, Franklin, Virginia 23851",0,36.6744791,-76.9375687
"2","Virginia Highlands Community College","100 VHCC Drive, Abingdon, Virginia 24212-0828",12,36.6994053,-82.001486
"3","Dabney S Lancaster Community College","1000 Dabney Drive, Clifton Forge, Virginia 24422-1000",12,37.8115476,-79.8513816
"4","Wytheville Community College","1000 E Main Street, Wytheville, Virginia 24382-3308",10,36.9525203,-81.0729252
"5","Danville Community College","1008 S Main St, Danville, Virginia 24541-4004",58,36.5644841,-79.4091964
"6","Southside Virginia Community College","109 Campus Drive, Alberta, Virginia 23821",38,36.8392995,-77.9163459
"7","Richard Bland College","11301 Johnson Road, South Prince George, Virginia 23805-7100",14,37.1566711,-77.3964344
"8","Tidewater Community College","121 College Place, Norfolk, Virginia 23510",222,36.850098,-76.2913302
"9","Rappahannock Community College","12745 College Drive, Glenns, Virginia 23149-2616",64,37.5643561,-76.623862
"10","John Tyler Community College","13101 Jefferson Davis Hwy, Chester, Virginia 23831-5316",78,37.3466091,-77.4077974
"11","J Sargeant Reynolds Community College","1651 East Parham Road, Richmond, Virginia 23228-2327",74,37.6340816,-77.4758617
"12","Lord Fairfax Community College","173 Skirmisher Lane, Middletown, Virginia 22645",60,39.0351031,-78.2668526
"13","American National University","1813 East Main Street, Salem, Virginia 24153",24,37.2997396,-80.0234938
"14","Germanna Community College","2130 Germanna Hwy, Locust Grove, Virginia 22508-2102",50,38.3752082,-77.7798052
"15","Centura College-Virginia Beach","2697 Dean Dr. Ste. 100, Virginia Beach, Virginia 23452-7431",4,36.8375601,-76.064528
"16","Eastern Shore Community College","29300 Lankford Hwy, Melfa, Virginia 23410",0,37.6441571,-75.7463725
"17","Bryant & Stratton College-Virginia Beach","301 Centre Pointe Dr, Virginia Beach, Virginia 23462",20,36.8278959,-76.1381446
"18","Virginia Western Community College","3094 Colonial Ave, Roanoke, Virginia 24015",62,37.246308,-79.9737355
"19","Mountain Empire Community College","3441 Mountain Empire Road, Big Stone Gap, Virginia 24219",14,36.853859,-82.75966
"20","Central Virginia Community College","3506 Wards Rd, Lynchburg, Virginia 24502-2498",2,37.3593436,-79.183912
"21","Southwest Virginia Community College","369 College Road US Rt. 19, 6 Miles S. Claypool Hill, Cedar Bluff, Virginia 24609",2,29.031004,-82.6697361
"22","Northern Virginia Community College","4001 Wakefield Chapel Rd, Annandale, Virginia 22003-3796",2058,38.8363305,-77.2380855
"23","Piedmont Virginia Community College","501 College Drive, Charlottesville, Virginia 22902-7589",78,38.0069995,-78.4844292
"24","New River Community College","5251 College Drive, Dublin, Virginia 24084-3660",58,37.105181,-80.696477
"25","ECPI University","5555 Greenwich Rd, Virginia Beach, Virginia 23462",1706,36.8425384,-76.178872
"26","Centura College-Newport News","616 Denbigh Blvd., Newport News, Virginia 23608",0,37.1405107,-76.5173449
"27","Patrick Henry Community College","645 Patriot Avenue, Martinsville, Virginia 24112",12,36.7397709,-79.8748169
"28","Columbia College","8620 Westwood Center Drive, Vienna, Virginia 22182",10,38.9284029,-77.2490916
"29","Centura College-Chesapeake","932 B Ventures Way, Chesapeake, Virginia 23320",0,36.7660867,-76.2277695
"30","Thomas Nelson Community College","99 Thomas Nelson Drive, Hampton, Virginia 23666",70,37.0634225,-76.4186005
