origin,dest,cost
51167,51620,434.3
51187,51620,270.6
51165,51620,263.1
51195,51620,471.5
51083,51620,150.4
51053,51620,99.7
51117,51620,101.1
51031,51620,206.2
51007,51620,141.5
51036,51620,111.3
51017,51620,302.2
51127,51620,128.2
51181,51620,68.1
51790,51620,231.3
51600,51620,227
51091,51620,285
51690,51620,210.1
51191,51620,396.4
51139,51620,271.1
51073,51620,108.1
51069,51620,294.1
51093,51620,34.2
51095,51620,104.6
51067,51620,248
51003,51620,197.6
51099,51620,184.4
51125,51620,238.7
51175,51620,20.1
51061,51620,226.5
51005,51620,305.2
51153,51620,214.9
51041,51620,120
51027,51620,455.3
51149,51620,77.6
51089,51620,211.2
51185,51620,398.9
51131,51620,125.2
51141,51620,249.8
51145,51620,138.6
51171,51620,294.7
51193,51620,188.1
51177,51620,174.7
51033,51620,153.8
51023,51620,298.2
51163,51620,264.5
51133,51620,181.6
51051,51620,490.2
51179,51620,185.8
51085,51620,128.7
51015,51620,235.6
51081,51620,47.1
51037,51620,168.5
51143,51620,195.5
51119,51620,136.7
51159,51620,171.8
51059,51620,228.6
51029,51620,196.1
51199,51620,93.8
51147,51620,160.2
51057,51620,165.8
51097,51620,153.8
51157,51620,252.7
51019,51620,243.9
51121,51620,321.2
51107,51620,260.6
51109,51620,180.2
51047,51620,216.3
51087,51620,111.3
51155,51620,330.2
51101,51620,139.2
51009,51620,241.3
51113,51620,228.5
51137,51620,208.7
51001,51620,170.4
51161,51620,288.3
51043,51620,279
51820,51620,219.5
51183,51620,54.6
51079,51620,217.4
51740,51620,53.7
51520,51620,410.2
51660,51620,252.9
51510,51620,226.4
51650,51620,69.6
51021,51620,352.8
51730,51620,78.6
51610,51620,232.3
51197,51620,345.9
51680,51620,218.1
51710,51620,63.1
51700,51620,73.3
51540,51620,190.3
51013,51620,231.6
51550,51620,70.3
51670,51620,84.2
51035,51620,302.9
51115,51620,131.4
51077,51620,352.1
51640,51620,319.5
51775,51620,285.6
51620,51620,2.9
51830,51620,96.6
51570,51620,92.8
51720,51620,467.4
51760,51620,113.3
51105,51620,500.8
51071,51620,355.5
51590,51620,178.6
51011,51620,188.2
51630,51620,169.9
51800,51620,30.8
51075,51620,155
51025,51620,66.4
51135,51620,128.3
51045,51620,329.5
51580,51620,301.9
51678,51620,261.5
51810,51620,81.9
51173,51620,369.5
51683,51620,219.1
51770,51620,277.7
51049,51620,163.2
51595,51620,41.6
51111,51620,125.3
51750,51620,322.3
51735,51620,81.6
51840,51620,286.1
51065,51620,185
51103,51620,165.8
51169,51620,476.2
51063,51620,289.5
51530,51620,264.7
51685,51620,220.6
51167,51191,41.8
51187,51191,331.7
51165,51191,269.4
51195,51191,79
51083,51191,269.3
51053,51191,354.2
51117,51191,293.9
51031,51191,238.4
51007,51191,312.1
51036,51191,391.3
51017,51191,240
51127,51191,382.3
51181,51191,413.2
51790,51191,236.5
51600,51191,390.1
51091,51191,289.9
51690,51191,186.4
51191,51191,10.2
51139,51191,305.4
51073,51191,414.4
51069,51191,339.1
51093,51191,419.4
51095,51191,401.1
51067,51191,188.1
51003,51191,262.8
51099,51191,401.6
51125,51191,273
51175,51191,389
51061,51191,363.8
51005,51191,220.2
51153,51191,379.8
51041,51191,364
51027,51191,102.8
51149,51191,382.5
51089,51191,185.5
51185,51191,72.7
51131,51191,508.6
51141,51191,144.3
51145,51191,340.5
51171,51191,301.1
51193,51191,426.9
51177,51191,353.7
51033,51191,381.1
51023,51191,180
51163,51191,205.7
51133,51191,438
51051,51191,97.7
51179,51191,384
51085,51191,345.9
51015,51191,238.7
51081,51191,358.2
51037,51191,299.8
51143,51191,239.6
51119,51191,412.1
51159,51191,410.5
51059,51191,393.4
51029,51191,290.5
51199,51191,417.7
51147,51191,284.9
51057,51191,404.5
51097,51191,397.5
51157,51191,334.6
