GEOID,3sfca_capacity,2sfca30_capacity
51001,0.0,0.0
51003,0.707520803277212,0.0005284356988203451
51005,0.8586776323212808,0.0006941632440562273
51007,0.043267881121215046,0.0
51009,0.0017744438272391588,0.0
51011,0.0017744438272391588,0.0
51013,2.0774128160200296,0.0018387801778335688
51015,0.042210047922788214,0.0
51017,0.051227926928258234,0.0
51019,0.023395069164058886,0.0
51021,0.24747632054721844,0.00012605600553729652
51023,0.03987956353106525,0.0
51025,2.9987091513007336,0.002699055330634278
51027,0.0,0.0
51029,0.0,0.0
51031,0.015927745782599114,7.927876503864117e-06
51033,0.031113231151382714,0.0
51035,0.08085801076368226,0.0
51036,0.07230541187326898,0.0
51037,0.0,0.0
51041,0.03976494128297312,0.0
51043,0.06297622674556295,0.0
51045,0.022073449274706204,0.0
51047,1.1009363658918545,0.001248626510838078
51049,0.0,0.0
51051,0.0,0.0
51053,0.08902728485497,0.0
51057,0.12873464292227027,0.0
51059,2.352703247247088,0.0016494939830565835
51061,0.10837502064039048,0.0
51063,0.1327214628623435,0.0
51065,0.042210047922788214,0.0
51067,0.029360020858975024,0.0
51069,0.5652866067399341,0.0003533241647497047
51071,0.1327214628623435,0.0
51073,1.9300859354989535,0.0016019624039448322
51075,0.03666163953708547,0.0
51077,0.028994558665021045,0.0
51079,0.042210047922788214,0.0
51081,0.07460465781456499,0.0
51083,0.06739774040381719,0.0
51085,0.494591462805487,0.00031988010344485195
51087,0.3090700307855313,0.00022800256897237192
51089,0.3149275138400344,0.0002285975540061721
51091,0.0,0.0
51093,0.13527398940990035,0.0
51095,0.057117015272933946,0.0
51097,0.12873464292227027,0.0
51099,0.0,0.0
51101,0.0799239370368265,0.0
51103,0.12873464292227027,0.0
51105,0.031780700255715985,0.0
51107,0.1239365600466495,0.0
51109,0.042210047922788214,0.0
51111,0.17890026186737332,0.0
51113,0.08243039182274409,0.0
51115,0.06436732146113514,0.0
51117,0.17890026186737332,0.0
51119,2.157837824220911,0.0016019624039448322
51121,0.05753169629807551,0.0
51125,0.042210047922788214,0.0
51127,0.050778938798717005,0.0
51131,0.0,0.0
51133,0.0,0.0
51135,0.17890026186737332,0.0
51137,0.08243039182274409,0.0
51139,0.0,0.0
51141,0.01966929891198756,0.0
51143,0.6049749555295018,0.00028788703998426093
51145,0.03719055613629888,0.0
51147,0.0,0.0
51149,0.044090796348768314,0.0
51153,0.1239365600466495,0.0
51155,1.990239439931983,0.0017025141437312168
51157,0.06297622674556295,0.0
51159,0.12873464292227027,0.0
51161,0.5605843958136425,0.0004163506417030618
51163,0.051227926928258234,0.0
51165,0.0,0.0
51167,0.01649946531373135,0.0
51169,0.031780700255715985,0.0
51171,0.06297622674556295,0.0
51173,0.022747011989376197,0.0
51175,0.0,0.0
51177,0.12265073572269995,0.0
51179,0.12329364788467473,0.0
51181,0.043267881121215046,0.0
51183,0.06677046364122749,0.0
51185,0.0,0.0
51187,0.5652866067399341,0.0003533241647497047
51191,0.27656246621111596,0.0002026445108668119
51193,0.0,0.0
51195,0.5327050709529536,0.000401652513197154
51197,0.4661141276590145,0.00038962765347891657
51199,0.02472333523518881,0.0
51510,1.740890742411138,0.0012168398235663323
51520,0.27656246621111596,0.0002026445108668119
51530,0.026501185377748697,0.0
51540,0.9668110976600539,0.000777111321794625
51550,0.5130439024610752,0.00015381375925173702
51570,0.5911605568026579,0.0005125873564116952
51580,0.8586776323212808,0.0006941632440562273
51590,1.479973703129172,0.0013085774544739134
51595,0.07460465781456499,0.0
51600,2.0774128160200296,0.0018387801778335688
51610,2.0774128160200296,0.0018387801778335688
51620,0.005218220815647702,0.0
51630,0.12265073572269995,0.0
51640,0.08085801076368226,0.0
51650,0.6378392787832583,0.0004264669128126418
51660,0.0,0.0
51670,0.5911605568026579,0.0005125873564116952
51678,0.051227926928258234,0.0
51680,0.02974305843753256,2.450434555739818e-05
51683,0.1239365600466495,0.0
51685,0.1239365600466495,0.0
51690,0.3149275138400344,0.0002285975540061721
51700,0.29703690730120075,0.00018540414442141525
51710,3.78519241107335,0.003673828498797634
51720,0.5327050709529536,0.000401652513197154
51730,0.7033491645612696,0.0007796638721746009
51735,0.4316353509659587,0.00018540414442141525
51740,2.3228630172186953,0.0016929536464959335
51750,0.9789098626778067,0.0005508133994424525
51760,0.3185852145672612,0.00022800256897237192
51770,0.7692011692432114,0.0005520565298338034
51775,0.6081657223695109,0.0004765744673149374
51790,0.042210047922788214,0.0
51800,0.16708731553417777,0.0
51810,4.686186512084504,0.0029146913538699755
51820,0.042210047922788214,0.0
51830,0.015611158187396262,0.0
51840,1.0556015149732456,0.0010920928728627235
